name,gene,chr,start,end,length,density
chr1-110710000-111040000,"['KCNC4', 'CYMP', 'SLC16A4', 'SNORA25', 'PROK1', 'SLC6A17', 'RP5-1074L1.4', 'LAMTOR5-AS1', 'KCNC4-AS1', 'RP5-1074L1.1', 'LAMTOR5', 'RP11-470L19.5', 'RP11-470L19.2', 'RP5-1028L10.1', 'RP5-1028L10.2', 'RBM15']",['chr1'],[110710000],[111040000],[330000],48.484848484848484
chr1-11075000-11840000,"['ANGPTL7', 'RNU6-537P', 'MAD2L2', 'UBIAD1', 'MTOR', 'snoU13', 'RP4-635E18.8', 'DRAXIN', 'EXOSC10', 'RPL39P6', 'RP4-635E18.7', 'TARDBP', 'SRM', 'PTCHD2', 'RP11-149P14.1', 'C1orf167', 'RP4-635E18.6', 'FBXO6', 'RNU6-291P', 'MASP2', 'RP11-56N19.5', 'MTOR-AS1', 'AGTRAP', 'FBXO2', 'FBXO44', 'UBE2V2P3', 'RP1-69M21.2']",['chr1'],[11075000],[11840000],[765000],35.29411764705882
chr1-111055000-111335000,"['KCNA10', 'RP11-284N8.3', 'AL365361.1', 'KCNA2', 'Y_RNA', 'KCNA3']",['chr1'],[111055000],[111335000],[280000],21.428571428571427
chr1-111575000-111980000,"['DRAM2', 'RP11-552M11.8', 'HIGD1AP12', 'CHIAP3', 'RP5-1125M8.3', 'PIFO', 'RNA5SP54', 'DENND2D', 'RP5-1180E21.4', 'CEPT1', 'RP5-1180E21.5', 'CHIAP1', 'PGCP1', 'CHIA', 'CHI3L2', 'OVGP1', 'RP5-1125M8.2', 'CHIAP2']",['chr1'],[111575000],[111980000],[405000],44.44444444444445
chr1-112000000-112315000,"['FAM212B-AS1', 'RNU6-792P', 'KRT18P57', 'KCND3', 'ADORA3', 'C1orf162', 'RNU6-151P', 'ATP5F1', 'LINC01160', 'DDX20', 'RAP1A', 'FAM212B']",['chr1'],[112000000],[112315000],[315000],38.095238095238095
chr1-112345000-112885000,"['RP5-965F6.2', 'KCND3-AS1', 'KCND3', 'KCND3-IT1', 'RP11-88H9.2', 'snoU13']",['chr1'],[112345000],[112885000],[540000],11.111111111111112
chr1-112915000-113255000,"['MRPL53P1', 'RP11-426L16.10', 'WNT2B', 'RP11-426L16.3', 'PPM1J', 'RP4-671G15.2', 'MOV10', 'snoU13', 'CAPZA1', 'RNU7-70P', 'RHOC', 'CTTNBP2NL', 'ST7L']",['chr1'],[112915000],[113255000],[340000],38.23529411764706
chr1-113260000-113630000,"['RP11-426L16.9', 'RP3-522D1.1', 'RP11-426L16.8', 'AKR7A2P1', 'RP11-389O22.1', 'SLC16A1', 'LRIG2', 'RP11-31F15.2', 'FAM19A3', 'RP3-522D1.2', 'SLC16A1-AS1', 'RP11-426L16.7']",['chr1'],[113260000],[113630000],[370000],32.43243243243243
chr1-113670000-114175000,"['RP11-389O22.5', 'RP11-389O22.4', 'LRIG2', 'MAGI3', 'RP11-512F24.1', 'MTND5P20']",['chr1'],[113670000],[114175000],[505000],11.881188118811881
chr1-114265000-114510000,"['RP5-1073O3.7', 'RSBN1', 'BCL2L15', 'PHTF1', 'HIPK1', 'RP5-1073O3.2', 'AP4B1-AS1', 'PTPN22', 'AP4B1', 'DCLRE1B']",['chr1'],[114265000],[114510000],[245000],40.816326530612244
chr1-114520000-114850000,"['SYT6', 'RP4-543J13.1', 'RP4-590F24.1', 'HIPK1', 'OLFML3']",['chr1'],[114520000],[114850000],[330000],15.15151515151515
chr1-114880000-115300000,"['BCAS2', 'RP4-591B8.2', 'EIF2S2P5', 'DENND2C', 'AMPD1', 'NRAS', 'CSDE1', 'PKMP1', 'RP4-591B8.3', 'RN7SL432P', 'TRIM33', 'Y_RNA']",['chr1'],[114880000],[115300000],[420000],28.57142857142857
chr1-115505000-115665000,"['TSHB', 'SYCP1', 'RP4-666F24.3', 'TSPAN2']",['chr1'],[115505000],[115665000],[160000],25.0
chr1-115695000-116115000,"['AL512638.1', 'NGF', 'RP4-663N10.2', 'RP4-663N10.1', 'TCEB1P20', 'CNOT7P2']",['chr1'],[115695000],[116115000],[420000],14.285714285714285
chr1-116145000-116320000,"['SNORA42', 'CASQ2', 'RN7SL420P', 'VANGL1']",['chr1'],[116145000],[116320000],[175000],22.857142857142858
chr1-116335000-116540000,"['RP11-12L8.1', 'HNRNPA1P43', 'NHLH2', 'RP11-12L8.2', 'SLC22A15']",['chr1'],[116335000],[116540000],[205000],24.390243902439025
chr1-116670000-117675000,"['ATP1A1OS', 'RP4-655J12.5', 'MIR942', 'AL355794.1', 'CD101', 'IGSF3', 'Y_RNA', 'MIR320B1', 'RP4-753F5.1', 'RP5-1185H19.2', 'ATP1A1', 'CD2', 'RNU6-817P', 'C1orf137', 'RP5-1086K13.1', 'TRIM45', 'PTGFRN', 'NEFHP1', 'FTH1P22', 'AL157904.1', 'RNA5SP55', 'MIR548AC', 'AL136376.1', 'TTF2', 'U3', 'RP11-27K13.3', 'MAB21L3', 'NAP1L4P1', 'CD58', 'RP4-655J12.4', 'GAPDHP64']",['chr1'],[116670000],[117675000],[1005000],30.845771144278608
chr1-117900000-118045000,"['MAN1A2', 'RP11-188D8.1']",['chr1'],[117900000],[118045000],[145000],13.793103448275861
chr1-118070000-118235000,"['MAN1A2', 'FAM46C', 'SNORA40', 'AL365331.2', 'VPS25P1', 'AL157902.3']",['chr1'],[118070000],[118235000],[165000],36.36363636363637
chr1-11875000-11970000,"['NPPA-AS1', 'NPPA', 'RNU5E-1', 'NPPB', 'CLCN6', 'RP5-934G17.6', 'RNU5E-4P']",['chr1'],[11875000],[11970000],[95000],73.6842105263158
chr1-119455000-119535000,['TBX15'],['chr1'],[119455000],[119535000],[80000],12.5
chr1-119585000-119680000,"['WARS2', 'RPS3AP12', 'RBMX2P3', 'WARS2-IT1']",['chr1'],[119585000],[119680000],[95000],42.10526315789474
chr1-119815000-119915000,"['RNU1-75P', 'RP11-418J17.3', 'RP5-834N19.1', 'RP11-418J17.1', 'HAO2', 'HAO2-IT1']",['chr1'],[119815000],[119915000],[100000],60.0
chr1-120150000-120225000,"['HSD3BP5', 'ZNF697', 'PHGDH']",['chr1'],[120150000],[120225000],[75000],40.0
chr1-12055000-12150000,"['RP11-426M1.2', 'MIIP', 'RN7SL649P', 'RNU6-777P', 'MFN2', 'RP5-1077B9.5', 'TNFRSF8', 'Y_RNA']",['chr1'],[12055000],[12150000],[95000],84.21052631578948
chr1-12170000-12290000,"['RP5-1118D24.2', 'TNFRSF1B', 'SNORA70', 'MIR4632', 'TNFRSF8']",['chr1'],[12170000],[12290000],[120000],41.666666666666664
chr1-12325000-12740000,"['DHRS3', 'RNU6ATAC18P', 'RP5-888M10.2', 'AADACL4', 'VPS13D', 'RP11-474O21.5', 'SNORA59A']",['chr1'],[12325000],[12740000],[415000],16.867469879518072
chr1-1255000-1450000,"['RP4-758J18.13', 'TMEM88B', 'RP4-758J18.10', 'CPSF3L', 'TAS1R3', 'MXRA8', 'MRPL20', 'VWA1', 'RP5-890O3.3', 'ATAD3C', 'AURKAIP1', 'GLTPD1', 'RP4-758J18.2', 'RN7SL657P', 'DVL1', 'ATAD3B', 'ATAD3A', 'RP4-758J18.7', 'CCNL2', 'ANKRD65']",['chr1'],[1255000],[1450000],[195000],102.56410256410255
chr1-13770000-14310000,"['AL359771.1', 'LRRC38', 'RP4-597A16.2', 'RP4-597A16.3', 'PDPN', 'CTA-520D8.2', 'RNA5SP41', 'PRDM2', 'SCARNA11']",['chr1'],[13770000],[14310000],[540000],16.666666666666668
chr1-144835000-145835000,"['RP11-458D21.5', 'POLR3C', 'RP11-458D21.1', 'RNVU1-6', 'GNRHR2', 'RNU2-38P', 'RP11-315I20.3', 'ITGA10', 'GPR89A', 'PIAS3', 'NOTCH2NL', 'RP4-791M13.4', 'RBM8A', 'RNU6-1071P', 'ANKRD35', 'SEC22B', 'ANKRD34A', 'HFE2', 'PDE4DIP', 'AL590452.1', 'LIX1L', 'RN7SKP88', 'NUDT17', 'AL138796.1', 'RP4-725K1.1', 'WI2-925H4.1', 'RP11-458D21.6', 'RP4-791M13.3', 'NBPF10', 'POLR3GL', 'RP4-791M13.5', 'PEX11B', 'RNF115', 'RP11-326G21.1', 'RP11-315I20.1', 'NUDT4P1', 'PDZK1', 'TXNIP', 'CD160']",['chr1'],[144835000],[145835000],[1000000],39.0
chr1-146640000-146720000,"['FMO5', 'CHD1L', 'PRKAB2', 'RP11-337C18.9', 'RP11-337C18.8', 'CCT8P1', 'RP11-337C18.7', 'RP11-337C18.10', 'PDIA3P1']",['chr1'],[146640000],[146720000],[80000],112.5
chr1-146960000-147130000,"['LINC00624', 'ACP6', 'BCL9']",['chr1'],[146960000],[147130000],[170000],17.64705882352941
chr1-149845000-150195000,"['RN7SL480P', 'SF3B4', 'HIST2H2AC', 'OTUD7B', 'SV2A', 'BOLA1', 'PLEKHO1', 'ANP32E', 'RP11-458I7.1', 'HIST2H2BE', 'MTMR11', 'HIST2H2AB', 'VPS45']",['chr1'],[149845000],[150195000],[350000],37.142857142857146
chr1-150335000-151145000,"['PRUNE', 'ARNT', 'RP11-316M1.12', 'MIR4257', 'RP11-68I18.2', 'SNORA40', 'UBE2D3P3', 'ADAMTSL4', 'Y_RNA', 'ANXA9', 'CDC42SE1', 'RNU6-1042P', 'ECM1', 'RN7SL600P', 'MLLT11', 'GABPB2', 'RNU6-884P', 'TMOD4', 'TNFAIP8L2', 'CTSS', 'BNIPL', 'CTSK', 'VPS72', 'HORMAD1', 'RP11-235D19.2', 'SCNM1', 'LYSMD1', 'ADAMTSL4-AS1', 'RP11-363I22.3', 'C1orf56', 'RP11-316M1.3', 'SETDB1', 'SEMA6C', 'CERS2', 'GOLPH3L', 'RN7SL473P', 'CYCSP51', 'ENSA', 'RP11-68I18.10', 'LINC00568', 'AL356356.1', 'RPRD2', 'MCL1', 'TARS2', 'RNU6-1309P', 'RP11-54A4.2', 'FAM63A']",['chr1'],[150335000],[151145000],[810000],58.02469135802469
chr1-151155000-151250000,"['VPS72', 'PIP5K1A', 'PSMD4']",['chr1'],[151155000],[151250000],[95000],31.57894736842105
chr1-151255000-152005000,"['RP11-98D18.15', 'S100A10', 'RP11-126K1.9', 'RNY4P25', 'RP11-98D18.9', 'RP11-98D18.2', 'Y_RNA', 'RP11-98D18.16', 'CELF3', 'PSMB4', 'SNX27', 'RNU6-1062P', 'RP11-74C1.2', 'C2CD4D', 'RP11-98D18.7', 'AL450992.2', 'RNU6-662P', 'THEM5', 'OAZ3', 'AL450992.6', 'RFX5', 'RP11-98D18.3', 'NBPF18P', 'RP11-126K1.8', 'MRPL9', 'LINGO4', 'KRT8P28', 'RN7SL444P', 'AL589765.1', 'SELENBP1', 'CGN', 'SNORA44', 'TUFT1', 'RIIAD1', 'POGZ', 'RORC', 'RP11-98D18.17', 'THEM4', 'RP11-74C1.4', 'PI4KB', 'RP11-126K1.6', 'RP11-98D18.1', 'TDRKH', 'RP11-404E16.1', 'MIR554', 'ZNF687', 'S100A11']",['chr1'],[151255000],[152005000],[750000],62.666666666666664
chr1-152020000-152450000,"['SPTLC1P4', 'TCHHL1', 'FLG-AS1', 'RP1-91G5.3', 'AL589986.2', 'HMGN3P1', 'RPTN', 'RP11-107M16.2', 'FLG', 'CRNN', 'FLG2', 'HRNR', 'TCHH', 'S100A11', 'HDHD1P2']",['chr1'],[152020000],[152450000],[430000],34.883720930232556
chr1-152835000-152910000,"['IVL', 'RP1-13P20.6', 'SMCP']",['chr1'],[152835000],[152910000],[75000],40.0
chr1-153320000-153465000,"['AL591704.7', 'S100A8', 'S100A7A', 'S100A7L2', 'AL591704.5', 'S100A12', 'AL591704.9', 'PGLYRP4', 'S100A9', 'S100A7']",['chr1'],[153320000],[153465000],[145000],68.96551724137932
chr1-153475000-153610000,"['S100A4', 'RP1-178F15.4', 'S100A16', 'RP1-178F15.5', 'CHTOP', 'S100A1', 'S100A6', 'S100A14', 'S100A13', 'S100A5', 'S100A3', 'S100A2', 'BX470102.3']",['chr1'],[153475000],[153610000],[135000],96.29629629629629
chr1-153625000-153965000,"['SLC39A1', 'GATAD2B', 'SLC27A3', 'RP11-216N14.9', 'snoU13', 'JTB', 'RP11-216N14.8', 'Y_RNA', 'RP11-216N14.1', 'DENND4B', 'SNAPIN', 'INTS3', 'NPR1', 'RP11-422P24.10', 'ILF2', 'RAB13', 'RN7SL372P', 'RP11-216N14.7', 'RP11-422P24.11', 'RP11-759F5.1', 'CRTC2', 'RPS27', 'CREB3L4', 'RP11-216N14.5']",['chr1'],[153625000],[153965000],[340000],70.58823529411764
chr1-153970000-154120000,"['MIR5698', 'RNU6-179P', 'U3', 'RPS7P2', 'NUP210L']",['chr1'],[153970000],[154120000],[150000],33.333333333333336
chr1-154145000-154245000,"['TPM3', 'C1orf189', 'UBAP2L', 'AL590431.1', 'SNORA58', 'HAX1', 'C1orf43', 'MIR190B']",['chr1'],[154145000],[154245000],[100000],80.0
chr1-15430000-15845000,"['TMEM51', 'FHAD1', 'EFHD2', 'RP3-467K16.7', 'CELA2A', 'CELA2B', 'TMEM51-AS1', 'RP3-467K16.4', 'RP3-467K16.2', 'KAZN', 'CTRC', 'C1orf195', 'CASP9', 'RP1-21O18.3']",['chr1'],[15430000],[15845000],[415000],33.734939759036145
chr1-154315000-155145000,"['ADAR', 'RP11-350G8.9', 'AL606500.1', 'RP11-350G8.4', 'ADAM15', 'EFNA3', 'RP11-201K10.3', 'SHE', 'CHRNB2', 'PYGO2', 'KCNN3', 'LENEP', 'ZBTB7B', 'RP11-350G8.3', 'Y_RNA', 'MIR4258', 'TDRD10', 'ATP8B2', 'DCST2', 'RP11-350G8.7', 'EFNA4', 'PBXIP1', 'RP11-307C12.11', 'DPM3', 'PMVK', 'RNU7-150P', 'SLC50A1', 'IL6R', 'UBE2Q1', 'HMGN2P18', 'KRTCAP2', 'SHC1', 'UBE2Q1-AS1', 'RP11-307C12.12', 'CKS1B', 'RP11-350G8.5', 'RP11-61L14.6', 'RP11-307C12.13', 'EFNA1', 'FLAD1', 'DCST1']",['chr1'],[154315000],[155145000],[830000],49.397590361445786
chr1-155215000-155570000,"['FDPS', 'RNU6-106P', 'POU5F1P4', 'RUSC1', 'ASH1L-IT1', 'HCN3', 'FAM189B', 'PKLR', 'RUSC1-AS1', 'RP11-29H23.7', 'snoU13', 'ASH1L', 'MIR555', 'RNU6-1297P', 'DAP3P1', 'RP11-29H23.6', 'ASH1L-AS1', 'CLK2', 'SCAMP3']",['chr1'],[155215000],[155570000],[355000],53.521126760563384
chr1-155620000-155715000,"['YY1AP1', 'RP11-243J18.2', 'MSTO1', 'MSTO2P', 'DAP3', 'RP11-29H23.5']",['chr1'],[155620000],[155715000],[95000],63.1578947368421
chr1-155720000-155810000,"['GON4L', 'MSTO2P']",['chr1'],[155720000],[155810000],[90000],22.222222222222225
chr1-155825000-156040000,"['GON4L', 'RNU4-19P', 'UBQLN4', 'RXFP4', 'RP11-336K24.5', 'SNORA42', 'LAMTOR2', 'SCARNA4', 'ARHGEF2', 'RP11-336K24.12', 'RAB25', 'KIAA0907', 'SYT11', 'RIT1', 'SSR2']",['chr1'],[155825000],[156040000],[215000],69.76744186046511
chr1-156045000-156305000,"['AL355388.1', 'PMF1-BGLAP', 'SMG5', 'PMF1', 'SEMA4A', 'PAQR6', 'TMEM79', 'C1orf85', 'CCT3', 'MEX3A', 'LMNA', 'AL589685.1', 'VHLL', 'BGLAP', 'SNORA26', 'SLC25A44']",['chr1'],[156045000],[156305000],[260000],61.53846153846153
chr1-156310000-156870000,"['PRCC', 'GPATCH4', 'NES', 'MIR9-1', 'snoU13', 'RP11-284F21.10', 'RHBG', 'Y_RNA', 'TTC24', 'C1orf61', 'APOA1BP', 'CRABP2', 'RP11-66D17.5', 'SH2D2A', 'ISG20L2', 'RP11-284F21.8', 'RRNAD1', 'HAPLN2', 'TSACC', 'HDGF', 'NTRK1', 'AL365181.1', 'IQGAP3', 'RP11-284F21.11', 'BCAN', 'RP11-284F21.9', 'MRPL24', 'RP11-139I14.2', 'INSRR', 'MEF2D', 'CCT3', 'RP11-284F21.7', 'RP11-98G7.1', 'RP11-66D17.3', 'PEAR1']",['chr1'],[156310000],[156870000],[560000],62.5
chr1-157045000-157480000,"['CYCSP52', 'ETV3L', 'RP11-85G21.2', 'RP11-71G12.1', 'RP11-85G21.1', 'ETV3', 'RP11-85G21.3']",['chr1'],[157045000],[157480000],[435000],16.091954022988507
chr1-157530000-157835000,"['RP11-367J7.3', 'FCRL3', 'FCRL2', 'CD5L', 'FCRL4', 'RP4-801G22.2', 'MRPS21P2', 'RP4-801G22.3', 'FCRL1', 'RP11-367J7.4', 'VDAC1P9']",['chr1'],[157530000],[157835000],[305000],36.06557377049181
chr1-157930000-158100000,"['KIRREL', 'KIRREL-IT1']",['chr1'],[157930000],[158100000],[170000],11.764705882352942
chr1-158190000-158340000,"['CD1C', 'CD1B', 'HMGN1P5', 'CD1A', 'CD1E']",['chr1'],[158190000],[158340000],[150000],33.333333333333336
chr1-15850000-16390000,"['RP4-680D5.9', 'RP11-169K16.9', 'SCARNA21', 'RP4-680D5.8', 'SLC25A34', 'snoU13', 'CLCNKA', 'CHCHD2P6', 'RP4-680D5.4', 'CASP9', 'PLEKHM2', 'CLCNKB', 'FAM131C', 'RP1-134O19.3', 'TBC1D3P6', 'RP11-5P18.10', 'AGMAT', 'HSPB7', 'RNU7-179P', 'FBLIM1', 'RP11-5P18.3', 'RP11-169K16.7', 'RP4-680D5.2', 'AL121992.1', 'SPEN', 'TMEM82', 'RP11-5P18.1', 'C1orf64', 'DDI2', 'RSC1A1', 'RP11-288I21.1', 'ZBTB17', 'RP11-5P18.5', 'RP11-169K16.8', 'RP11-169K16.4', 'RP11-169K16.6', 'DNAJC16']",['chr1'],[15850000],[16390000],[540000],68.51851851851852
chr1-158740000-159055000,"['RAD1P2', 'OR2AQ1P', 'AL359753.1', 'AIM2', 'IFI16', 'MNDA', 'RP11-393K10.1', 'OR10AA1P', 'OR6N2', 'PYHIN1']",['chr1'],[158740000],[159055000],[315000],31.746031746031743
chr1-159095000-159200000,"['CTA-134P22.2', 'AIM2', 'RNA5SP60', 'DARC', 'CADM3']",['chr1'],[159095000],[159200000],[105000],47.61904761904762
chr1-159205000-159730000,"['OR10J6P', 'OR10J5', 'MPTX1', 'OR10J2P', 'APCS', 'RP11-419N10.5', 'CRP', 'OR10J4', 'RP11-180D21.3', 'CRPP1', 'OR10AE1P', 'RP11-740C1.2', 'FCER1A', 'OR10J1', 'OR10J8P', 'OR10J7P', 'RP11-550P17.5', 'OR10J3', 'OR10J9P']",['chr1'],[159205000],[159730000],[525000],36.19047619047619
chr1-159740000-160350000,"['RP11-574F21.2', 'C1orf204', 'AL121987.1', 'SUMO1P3', 'CCDC19', 'NHLH1', 'AL590560.1', 'RP11-226L15.1', 'ATP1A2', 'hsa-mir-4259', 'NCSTN', 'Y_RNA', 'RP11-226L15.5', 'PEX19', 'LINC01133', 'TAGLN2', 'RP11-536C5.7', 'PIGM', 'RP11-179G5.1', 'RP11-190A12.8', 'KCNJ9', 'DCAF8', 'IGSF8', 'RP11-190A12.7', 'SLAMF9', 'FCRL6', 'DUSP23', 'VSIG8', 'IGSF9', 'SLAMF8', 'KCNJ10', 'COPA', 'CASQ1', 'ATP1A4', 'RP11-536C5.2', 'SNORD64', 'PEA15']",['chr1'],[159740000],[160350000],[610000],60.65573770491803
chr1-160390000-160585000,"['CD84', 'AL138930.1', 'AL138930.2', 'SLAMF6', 'SLAMF1', 'VANGL2', 'RP11-528G1.2']",['chr1'],[160390000],[160585000],[195000],35.8974358974359
chr1-160640000-161130000,"['RP11-312J18.7', 'TSTD1', 'RP11-312J18.6', 'RP11-404F10.2', 'ITLN1', 'ARHGAP30', 'RP11-544M22.13', 'RP11-544M22.1', 'ACA64', 'RP11-312J18.3', 'UFC1', 'CD244', 'LY9', 'USF1', 'CD48', 'USP21', 'PFDN2', 'ITLN2', 'F11R', 'RP11-312J18.5', 'AL121985.1', 'AL591806.1', 'RP11-297K8.2', 'NIT1', 'SETP9', 'DEDD', 'RP11-544M22.8', 'RP11-544M22.3', 'PVRL4', 'SLAMF7', 'KLHDC9']",['chr1'],[160640000],[161130000],[490000],63.265306122448976
chr1-161155000-161360000,"['RP11-122G18.5', 'RRM2P2', 'MPZ', 'FCER1G', 'C1orf192', 'NR1I3', 'RP11-122G18.8', 'SDHC', 'NDUFS2', 'AL590714.1', 'MIR5187', 'ADAMTS4', 'TOMM40L', 'APOA2', 'PCP4L1']",['chr1'],[161155000],[161360000],[205000],73.17073170731707
chr1-161750000-162390000,"['NOS1AP', 'RP11-227F8.2', 'MIR4654', 'RP11-565P22.6', 'C1orf226', 'MIR556', 'ATF6', 'RP11-456P18.2', 'RNA5SP61', 'RP11-565P22.2', 'C1orf111', 'OLFML2B', 'SH2D1B']",['chr1'],[161750000],[162390000],[640000],20.3125
chr1-162580000-162775000,"['DDR2', 'HSD17B7', 'RN7SL861P']",['chr1'],[162580000],[162775000],[195000],15.384615384615383
chr1-162815000-163295000,"['RP11-267N12.1', 'RP11-77M5.1', 'RP11-331H2.3', 'RGS5', 'RP11-331H2.4', 'RP11-267N12.2', 'RGS4', 'C1orf110', 'NUF2', 'RP11-267N12.3']",['chr1'],[162815000],[163295000],[480000],20.833333333333332
chr1-163360000-164895000,"['Y_RNA', 'PBX1', 'RNA5SP62', 'RNU5F-6P', 'RP4-640E24.1', 'RP11-506O24.2', 'RP11-403P14.1', 'NMNAT1P2', 'HMGB3P6', 'RP11-506O24.1', 'U3', 'RNA5SP63', 'RNU6-171P', 'RP11-408E1.1', 'RP11-477H21.2']",['chr1'],[163360000],[164895000],[1535000],9.771986970684038
chr1-16400000-16520000,"['RP11-276H7.2', 'EPHA2', 'FAM131C', 'RP11-276H7.3']",['chr1'],[16400000],[16520000],[120000],33.333333333333336
chr1-165355000-165565000,"['LRRC52', 'RP11-280O1.2', 'RP11-541H12.1', 'RXRG', 'RP11-306I1.1']",['chr1'],[165355000],[165565000],[210000],23.80952380952381
chr1-165590000-165890000,"['Y_RNA', 'RP11-466F5.8', 'ALDH9A1', 'RP11-466F5.4', 'RP11-306I1.2', 'RP11-466F5.10', 'RP11-466F5.9', 'RP11-466F5.6', 'TMCO1', 'RP11-525G13.2', 'UCK2', 'MGST3', 'RP11-466F5.3']",['chr1'],[165590000],[165890000],[300000],43.333333333333336
chr1-16575000-16690000,"['FBXO42', 'SZRD1']",['chr1'],[16575000],[16690000],[115000],17.391304347826086
chr1-165900000-166455000,"['FAM78B', 'RP11-9L18.3', 'MIR921', 'RNA5SP64', 'RP11-7G12.1', 'RP11-7G12.2', 'AL626787.1', 'RP11-479J7.1', 'RP11-9L18.2', 'FMO7P', 'RP11-479J7.2', 'RP11-375H19.2', 'RP11-276E17.2']",['chr1'],[165900000],[166455000],[555000],23.423423423423426
chr1-166865000-167180000,"['DUSP27', 'GPA33', 'RP11-102C16.3', 'snoU13', 'ILDR2', 'MAEL', 'RNA5SP65', 'RP4-782G3.1', 'RP11-277B15.2', 'RP11-277B15.1']",['chr1'],[166865000],[167180000],[315000],31.746031746031743
chr1-16695000-16835000,"['SPATA21', 'RP4-798A10.2', 'SZRD1', 'NECAP2', 'CROCCP3', 'RP11-430L17.1']",['chr1'],[16695000],[16835000],[140000],42.857142857142854
chr1-167190000-167520000,"['AKR1D1P1', 'RP11-104L21.3', 'CREG1', 'RP11-104L21.2', 'CD247', 'RP11-52A20.2', 'POU2F1']",['chr1'],[167190000],[167520000],[330000],21.21212121212121
chr1-167525000-167680000,"['RCSD1', 'RP3-455J7.3', 'RP3-455J7.4']",['chr1'],[167525000],[167680000],[155000],19.35483870967742
chr1-167685000-168055000,"['MPZL1', 'DCAF6', 'ADCY10', 'RP1-313L4.3', 'GPR161', 'MPC2', 'RP1-313L4.4', 'GCSHP5', 'MIR1255B2']",['chr1'],[167685000],[168055000],[370000],24.324324324324323
chr1-168405000-168550000,"['RP5-968D22.3', 'QRSL1P1', 'XCL1', 'RP4-738P11.3', 'XCL2', 'RP4-738P11.4']",['chr1'],[168405000],[168550000],[145000],41.37931034482759
chr1-168575000-169335000,"['AL049798.1', 'RP5-1018K9.1', 'RP4-800F24.1', 'RP1-10C16.1', 'NME7', 'DPT', 'LINC00970', 'RNA5SP66', 'RPL29P7', 'SUMO1P2', 'ATP1B1', 'LINC00626']",['chr1'],[168575000],[169335000],[760000],15.789473684210526
